user_id,n_traces_w1,active_days_w1,mean_log_lag,sd_log_lag,prop_long_lag,distinct_lexemes,mean_session_seen,mean_hist_rate_w1,acc_w1,n_traces_w2,recall_w2,lang_de,lang_en,lang_es,lang_fr,lang_it,lang_pt
u:-b,1553,6,-0.08568917697237707,1.4689509503166212,0.6297488731487444,850,1.5634256278171281,0.922898679789023,0.8638040556424359,1128,0.9111997635933837,0.0,1.0,0.0,0.0,0.0,0.0
u:0b,10,1,0.4927927129461051,0.0,1.0,10,4.2,0.7287121212121213,0.8099999999998999,34,0.9142156862745294,0.0,0.0,0.0,0.0,1.0,0.0
u:0u-,89,3,0.3083366109208923,1.2564785573547412,0.8314606741573034,62,2.303370786516854,0.8472403482398312,0.8277153558052583,43,0.8182170542636047,0.0,0.0,0.0,1.0,0.0,0.0
u:1EH,46,3,2.135134648257667,0.3429404848158914,1.0,46,1.7391304347826086,0.9621870882740448,0.9456521739130435,58,0.8783524904214655,0.0,0.0,1.0,0.0,0.0,0.0
u:1zo,36,1,-0.5794923095552332,2.42169098007155,0.3888888888888889,17,3.5555555555555554,0.8524797120998101,0.8226851851851945,20,0.8875,0.0,0.0,0.0,1.0,0.0,0.0
u:286,130,3,1.5159146339559908,0.9574630628339748,0.9461538461538461,115,1.7153846153846153,0.8885219673877081,0.8628205128205307,72,0.9166666666666666,0.0,0.0,1.0,0.0,0.0,0.0
u:2R-,559,4,0.5347958151084556,1.229187454956937,0.8050089445438283,402,1.2039355992844365,0.845054819616871,0.7012522361359589,201,0.7315091210613632,0.0,0.0,1.0,0.0,0.0,0.0
u:2mx,1123,6,-1.3348629335959983,1.1960637205565854,0.1798753339269813,424,1.130899376669635,0.972269770697469,0.9577025823686562,21,0.9523809523809523,0.0,0.0,0.0,0.0,1.0,0.0
u:3-T,17,1,1.2051448726526297,0.19817320510368291,1.0,17,1.7647058823529411,0.7073186137199977,0.8529411764705882,61,0.9275956284153114,0.0,0.0,1.0,0.0,0.0,0.0
u:3i,38,1,1.3046279424399487,1.2771450544328902,0.7368421052631579,29,2.763157894736842,0.8701381303062018,0.8758771929824473,35,0.8333333333333428,1.0,0.0,0.0,0.0,0.0,0.0
u:3v0,21,1,-0.45259923248338463,1.1509719584829077,0.6666666666666666,14,4.238095238095238,0.8534859390122547,0.9213151927438096,198,0.8930134680134697,0.0,0.0,1.0,0.0,0.0,0.0
u:42w,102,2,1.5047663970878427,0.8828652083710852,0.9607843137254902,95,1.607843137254902,0.8430008213139184,0.8741830065359607,63,0.9034391534391587,0.0,0.0,1.0,0.0,0.0,0.0
u:5Bl,194,5,0.8347081833820698,2.0092254988606615,0.6237113402061856,139,1.3865979381443299,0.8749576606223899,0.8780068728522371,145,0.8701149425287448,0.0,0.0,1.0,0.0,0.0,0.0
u:5We,41,1,-0.6430891581431979,1.4724787613311763,0.5853658536585366,25,1.146341463414634,0.9184668989547039,0.9024390243902439,73,0.958904109589041,0.0,0.0,1.0,0.0,0.0,0.0
u:6NL,287,2,-1.9121069029642002,1.3603444966519924,0.14634146341463414,115,1.048780487804878,0.932540239225577,0.9442508710801394,97,0.9175257731958762,1.0,0.0,0.0,0.0,0.0,0.0
u:7HL,159,5,0.4674240078298266,1.3590695007157902,0.8742138364779874,98,1.3144654088050314,0.8189537054092931,0.7143605870021006,210,0.6720634920635048,0.0,0.0,0.0,1.0,0.0,0.0
u:8nF,34,2,-1.3868556601358604,1.4363530763461658,0.4117647058823529,28,2.9705882352941178,0.9507575757575758,0.9556022408963822,191,0.8939790575916388,0.0,1.0,0.0,0.0,0.0,0.0
u:9T7,17,1,1.8030481509622103,0.9259278035263196,0.9411764705882353,16,1.0,0.8614912731113309,0.7058823529411765,56,0.7916666666666785,0.0,0.0,1.0,0.0,0.0,0.0
u:9_H,290,2,-0.5193101882951953,1.5311389444347971,0.496551724137931,123,1.3413793103448275,0.8486797322733852,0.8390804597701138,187,0.7115270350564545,0.0,0.0,0.0,1.0,0.0,0.0
u:9l,239,4,0.22165209848625284,1.9218143324848322,0.4435146443514644,110,2.3347280334728033,0.8414061733464897,0.8838513648137238,7,0.9795918367347143,0.0,0.0,1.0,0.0,0.0,0.0
u:AKd,42,1,1.1680276082292274,1.9259502411625635,0.7857142857142857,34,2.4047619047619047,0.9210709924995639,0.9309523809524048,83,0.8369477911646868,0.0,0.0,0.0,1.0,0.0,0.0
u:AMw,12,1,-0.6586844186229005,1.5518490043775337,0.5833333333333334,12,3.3333333333333335,0.9401806526806528,0.8819444444445,39,0.9713675213675385,1.0,0.0,0.0,0.0,0.0,0.0
u:ASj,886,6,0.6830652262200962,1.1042037269311074,0.8295711060948081,635,1.059819413092551,0.7945565709438914,0.6730624529721592,746,0.6678954423592507,0.0,0.0,1.0,0.0,0.0,0.0
u:AdA,386,2,0.3211229964968968,1.5996843918857258,0.7383419689119171,288,1.2979274611398963,0.7796576710848269,0.43978534418949483,55,0.43636363636363634,0.0,1.0,0.0,0.0,0.0,0.0
u:AvA,1273,6,-0.6719502338875797,1.2960758425718468,0.47368421052631576,406,1.4477611940298507,0.8809832501394362,0.8820297011184706,36,0.9375000000000279,0.0,0.0,1.0,0.0,0.0,0.0
u:Bcv,55,3,1.8525074445137346,0.46174416755916436,1.0,55,2.5454545454545454,0.9511635859632817,0.9681818181818364,45,0.9444444444444444,0.0,1.0,0.0,0.0,0.0,0.0
u:BqX,145,1,-1.852856212235597,1.225426808793542,0.1724137931034483,58,1.303448275862069,0.863379965336324,0.9137931034482896,230,0.8967391304347826,0.0,0.0,0.0,0.0,0.0,1.0
u:CgC,87,3,1.8066973322142867,1.2195773036412483,0.8735632183908046,76,1.528735632183908,0.9167665435725698,0.8540229885057471,49,0.8768707482993265,0.0,0.0,1.0,0.0,0.0,0.0
u:CwM,52,4,1.6222166056354697,0.6966698203965201,1.0,49,1.4807692307692308,0.8332012525142469,0.36858974358976926,65,0.7384615384615385,0.0,0.0,1.0,0.0,0.0,0.0
u:D-S,216,3,-0.5247252892672658,1.5630705212075577,0.5648148148148148,78,1.5833333333333333,0.9613830287418497,0.9336419753086527,109,0.9188728702490367,0.0,1.0,0.0,0.0,0.0,0.0
u:DsW,27,1,2.442747364335022,3.5006554087985404e-05,1.0,27,3.2222222222222223,0.9259259259259259,0.9506172839505926,48,0.9461805555555625,0.0,0.0,1.0,0.0,0.0,0.0
u:EBK,913,4,0.19445711032212792,1.677505486347439,0.6440306681270537,554,1.3351588170865278,0.9057636749183098,0.806845564074483,399,0.8034670008354236,0.0,1.0,0.0,0.0,0.0,0.0
u:Ene,389,3,-0.6631185266133035,1.1544103971104354,0.5526992287917738,156,1.5038560411311055,0.881102318637791,0.894173093401892,375,0.8463301587301653,0.0,0.0,0.0,0.0,1.0,0.0
u:EvT,198,5,-1.0395192335064727,1.4085800311449477,0.19696969696969696,78,2.48989898989899,0.9451752294806264,0.9493145743145909,147,0.9285714285714421,0.0,0.0,1.0,0.0,0.0,0.0
u:FIi,220,5,-0.9039787352228492,1.132528314236018,0.2590909090909091,107,1.65,0.9663775511065157,0.9715909090909091,242,0.9413223140495868,0.0,0.0,0.0,0.0,1.0,0.0
u:FjJ,22,1,-0.8442417338676301,1.9357807483009866,0.4090909090909091,22,4.7727272727272725,0.9126984126984127,1.0,47,0.9721377912867447,0.0,0.0,0.0,1.0,0.0,0.0
u:G7V,64,6,0.8988941975232291,0.42429462183546746,0.9375,57,1.1875,0.6655558874632198,0.71875,146,0.5273972602739726,0.0,0.0,0.0,1.0,0.0,0.0
u:GAH,49,2,-1.7858257393308021,0.9953803106588689,0.20408163265306123,40,3.6122448979591835,0.9071085577087978,0.9506802721088368,6,0.9484126984126666,1.0,0.0,0.0,0.0,0.0,0.0
u:GMT,320,4,-0.48178178306111397,1.344693079963012,0.43125,186,2.459375,0.9123215791211894,0.9428645833333376,139,0.9500000000000144,0.0,0.0,0.0,1.0,0.0,0.0
u:Gi_,18,1,1.4103179001693738,0.8177653456391017,0.9444444444444444,18,1.0555555555555556,0.9046296296296297,0.6666666666666666,204,0.9052287581699363,1.0,0.0,0.0,0.0,0.0,0.0
u:H2u,28,1,0.5526679921588541,1.7566726064235219,0.8214285714285714,23,1.4642857142857142,0.9237339163526218,0.7767857142857143,46,0.8369565217391305,1.0,0.0,0.0,0.0,0.0,0.0
u:HN5,117,2,0.005322375543466255,1.5930005195278714,0.5897435897435898,71,1.0427350427350428,0.8744091457766672,0.8931623931623932,425,0.8780392156862754,0.0,0.0,0.0,0.0,1.0,0.0
u:He0,68,3,-0.4338500908474133,0.869922172575568,0.47058823529411764,48,2.4411764705882355,0.8705097429615686,0.9240196078431617,115,0.9317391304348,0.0,0.0,1.0,0.0,0.0,0.0
u:I3M,180,2,0.9067601900124168,1.2376927135277043,0.8777777777777778,148,1.8277777777777777,0.9304787742267897,0.9345370370370445,237,0.9284810126582362,0.0,0.0,1.0,0.0,0.0,0.0
u:IJH,384,5,-1.1654042944706202,1.4191482113577418,0.265625,97,2.9322916666666665,0.9118042167150439,0.9327008928571588,315,0.9310582010582222,0.0,0.0,1.0,0.0,0.0,0.0
u:IY_,2742,5,-0.9112680325580419,1.462192152467455,0.41174325309992704,678,1.1827133479212253,0.5660406924233428,0.4968028203257983,5676,0.46785672337997747,0.0,1.0,0.0,0.0,0.0,0.0
u:Ib6,78,4,0.6150111967087816,0.3777635583631543,0.9102564102564102,59,1.1153846153846154,0.7337668826047489,0.6217948717948718,42,0.6309523809523809,0.0,0.0,0.0,1.0,0.0,0.0
u:ImP,17,1,2.400736587467116,0.028614280206833115,1.0,17,2.9411764705882355,0.8694661633516123,0.8509803921568824,29,0.9201149425287242,0.0,0.0,1.0,0.0,0.0,0.0
u:IrZ,61,1,0.661077445823043,1.624715816164217,0.8032786885245902,49,1.1311475409836065,0.8528203846966438,0.7868852459016393,146,0.673271363339863,0.0,0.0,0.0,1.0,0.0,0.0
u:It4,879,5,-1.0936588241359457,1.3234474337061828,0.2571103526734926,144,1.5745164960182025,0.9273091867374098,0.9533181645809659,630,0.9379100529100572,0.0,0.0,0.0,1.0,0.0,0.0
u:JR_,841,6,-0.5521959993124296,1.4521118142663854,0.5065398335315101,333,1.1938168846611177,0.8889271741474386,0.837613951644868,135,0.7953703703703704,1.0,0.0,0.0,0.0,0.0,0.0
u:JUF,40,1,-0.950311356302184,1.0887884156413952,0.25,26,2.575,0.8820398351648352,0.856250000000025,174,0.9464012041598276,0.0,0.0,0.0,0.0,1.0,0.0
u:Jl-,56,1,1.3583030755687309,1.714473341562103,0.8214285714285714,46,1.0714285714285714,0.9750818881164276,0.9642857142857143,5,0.4,1.0,0.0,0.0,0.0,0.0,0.0
u:K32,14,1,-0.4981488191015767,1.3156684743731104,0.5,7,2.857142857142857,0.8810435596149881,0.8154761904762143,35,0.9252380952381429,0.0,1.0,0.0,0.0,0.0,0.0
u:K3f,86,2,2.1609923493569427,0.999297432841485,0.9418604651162791,82,1.4651162790697674,0.7832921522442007,0.8325581395348954,30,0.7933333333333333,0.0,0.0,1.0,0.0,0.0,0.0
u:KDt,12,1,2.061305482147496,0.19562251571269368,1.0,12,1.25,0.7486276175931348,0.625,55,0.9090909090909091,0.0,1.0,0.0,0.0,0.0,0.0
u:L4C,24,1,1.70409816413001,0.07424052031911077,1.0,24,1.5,0.6540866777745581,0.5069444444444583,9,0.8611111111111112,0.0,0.0,1.0,0.0,0.0,0.0
u:LKZ,72,2,0.3529061215915861,1.7136152587441293,0.4027777777777778,29,4.180555555555555,0.921458288775521,0.8963734567901389,137,0.8466863631097299,1.0,0.0,0.0,0.0,0.0,0.0
u:MLN,32,1,1.7738183637351912,0.6934915921922873,0.96875,32,1.125,0.9440104166666666,0.828125,25,0.96,0.0,0.0,1.0,0.0,0.0,0.0
u:MMf,37,2,1.62126576395667,0.6855173061490994,1.0,37,1.7837837837837838,0.9053291467584453,0.9504504504504594,78,0.8860398860398974,0.0,0.0,0.0,1.0,0.0,0.0
