Gender,Age,P_ID,Initial_score,Followup_score,Retention_90,Retention_80,Retention_70,DET_1,DET_2,DET_3,DET_4,DET_5,COG_6,COG_7,COG_8,COG_9,COG_10,COG_11,MEM_12,MEM_13,MEM_14,MEM_15,MEM_16,MEM_17,SOC_18,SOC_19,SOC_20,META_21,META_22,META_23,META_24,META_25,RSKILL_26,WSKILL_27,SSKILL_28,LSKILL_29,TOOLS_30,TOOLS_31,CONDITION_32,CONDITION_33,CONDITION_34,CONDITION_35,CONDITION_36,ENVIRONMENT_37,ENVIRONMENT_38,ENVIRONMENT_39,ENVIRONMENT_40,ENVIRONMENT_41,ENVIRONMENT_42,TIME_43,TIME_44,TIME_45
1.0,22.0,40022373,26,20,0,0,1,3,5,1,5,1,5,1,1,1,1,1,1,1,5,5,1,5,1,1,1,1,5,5,1,1,1,1,1,5,5,1,1,5,5,5,1,1,5,1,3,3,3,3,1,1
0.0,27.0,40209864,28,23,0,1,1,1,4,4,2,4,4,5,3,2,2,4,1,4,5,2,1,3,2,1,3,1,3,5,3,3,4,3,5,3,5,3,5,3,2,2,4,5,1,5,3,4,5,4,5,2
0.0,25.0,40211111,21,22,1,1,1,2,2,5,2,4,4,4,1,4,4,3,2,5,5,4,2,5,3,3,3,3,5,5,4,4,4,4,4,4,4,4,2,4,1,3,3,3,3,3,3,3,3,2,3,2
0.0,37.0,40213834,25,27,1,1,1,1,1,5,5,1,4,5,1,1,1,1,1,4,1,1,1,4,1,1,1,4,4,4,1,4,4,1,4,1,1,1,4,4,1,4,5,4,1,5,4,4,4,2,4,4
1.0,19.0,40219013,14,13,1,1,1,3,4,1,2,1,5,5,2,1,1,5,5,3,4,4,5,3,3,2,4,2,3,5,3,1,4,2,2,4,5,1,1,5,1,5,1,5,2,5,3,5,3,2,2,3
0.0,27.0,40221433,20,16,0,1,1,4,4,3,5,4,4,5,1,2,5,4,3,2,2,4,3,3,2,2,2,2,4,5,4,5,4,3,4,5,5,5,4,3,3,4,3,5,3,4,2,4,4,4,5,5
0.0,20.0,40224133,13,16,1,1,1,4,4,3,4,3,4,2,2,2,2,4,4,2,2,2,4,4,2,2,4,3,4,5,4,4,5,4,3,2,5,4,4,4,2,2,4,5,2,2,3,4,4,2,4,1
0.0,20.0,40227043,30,30,1,1,1,3,5,5,5,4,3,4,1,4,4,3,2,4,2,3,1,4,4,1,3,4,4,4,4,4,4,4,3,2,4,4,4,3,2,4,2,4,2,4,4,4,4,3,4,4
,,40227263,14,13,1,1,1,3,5,1,1,2,4,3,1,1,1,3,3,1,4,4,4,4,2,3,4,1,4,5,1,1,5,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,40230423,15,12,0,1,1,3,5,2,5,4,5,1,1,1,1,1,1,3,5,3,1,4,2,2,4,1,4,5,1,1,1,1,5,5,5,1,1,5,5,2,4,1,5,2,3,3,1,1,2,2
1.0,20.0,40234203,22,24,1,1,1,3,4,4,5,3,5,4,2,5,3,5,4,4,5,4,3,5,4,3,5,2,5,5,4,2,5,3,5,5,5,4,4,1,3,5,2,5,3,5,5,5,4,4,5,3
1.0,19.0,40235523,29,29,1,1,1,4,5,2,3,1,2,5,3,5,5,2,1,2,3,3,1,2,4,2,4,2,4,5,4,5,3,4,4,2,5,4,5,2,4,1,5,5,1,5,4,4,5,5,5,3
1.0,21.0,40242333,21,19,1,1,1,2,2,4,5,2,4,4,4,2,2,2,2,5,2,2,2,2,3,3,3,1,2,4,2,1,2,2,4,2,5,2,2,2,4,2,4,3,2,3,3,2,2,1,3,2
0.0,20.0,40245643,15,14,1,1,1,3,4,4,4,3,4,4,4,4,4,4,2,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,2,4,4,3,2,3,2,4,4,2,3,3,3,3,2,2,3
0.0,19.0,40317213,27,28,1,1,1,4,4,3,4,5,5,5,3,4,2,5,4,3,4,3,4,4,2,3,4,2,5,5,4,2,3,4,5,4,5,2,2,4,4,2,4,4,3,4,3,4,4,2,4,2
0.0,18.0,40320053,29,29,1,1,1,4,5,4,4,3,5,5,1,4,4,5,2,4,5,2,5,3,4,2,3,3,4,5,2,5,4,5,4,5,5,4,5,4,2,1,5,3,1,5,5,5,5,5,5,5
0.0,,40322253,30,27,1,1,1,3,4,4,4,2,2,3,2,3,2,2,2,4,3,2,2,2,2,2,3,2,2,4,3,4,3,4,3,2,5,2,4,3,1,1,5,4,3,4,3,4,3,3,5,3
1.0,19.0,40324043,29,30,1,1,1,4,5,3,5,4,4,4,2,3,3,5,3,4,5,4,2,4,3,4,4,3,3,5,4,2,4,3,5,4,5,3,3,3,3,5,1,2,5,4,3,3,3,2,5,2
0.0,19.0,40325843,30,29,1,1,1,3,5,2,5,2,5,5,2,5,2,2,2,4,2,4,2,5,4,3,2,3,5,5,4,5,4,4,4,5,5,4,3,3,3,4,3,3,4,3,3,3,3,4,4,3
,,40329373,29,28,1,1,1,4,5,2,4,4,4,3,3,2,1,4,4,4,2,4,4,1,5,5,2,2,5,5,1,4,5,2,4,5,5,1,2,2,3,5,5,4,3,4,5,5,3,1,4,3
0.0,20.0,40329503,29,27,1,1,1,3,4,4,4,4,4,4,5,4,4,3,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,4,4
0.0,20.0,40331873,30,28,1,1,1,3,4,1,5,2,5,4,2,3,4,4,2,4,2,3,3,4,4,1,4,3,4,5,2,4,4,2,5,5,5,4,3,5,1,2,5,5,1,5,5,5,5,2,4,2
0.0,19.0,40332713,29,27,1,1,1,2,2,2,2,2,4,5,2,4,2,2,2,2,4,2,2,4,4,4,3,4,4,4,2,4,2,2,2,2,4,3,4,4,2,5,1,3,3,5,3,3,3,1,5,5
0.0,20.0,40333313,30,30,1,1,1,4,4,1,4,2,3,3,3,4,5,2,1,3,2,2,2,2,2,2,3,2,2,4,2,2,4,3,4,3,5,4,3,3,2,4,2,3,1,1,1,1,3,1,4,2
0.0,18.0,40333953,27,28,1,1,1,3,4,2,5,3,1,4,1,1,4,2,4,4,4,4,2,4,3,3,4,4,4,4,2,4,4,3,4,5,5,4,4,4,4,3,3,3,4,4,3,4,4,3,2,2
0.0,20.0,40335003,26,23,0,1,1,4,3,5,1,2,3,3,2,4,3,3,2,4,4,4,4,3,4,4,4,2,4,4,3,4,4,2,2,4,4,3,4,2,3,3,4,3,4,3,4,3,3,4,4,3
0.0,19.0,40336193,26,27,1,1,1,4,4,4,2,3,4,4,4,3,3,5,5,4,4,5,4,3,5,3,4,3,4,4,4,3,2,3,4,3,5,3,4,3,2,4,3,4,3,4,4,3,3,3,4,3
0.0,19.0,40336253,29,29,1,1,1,4,3,4,4,4,2,5,1,4,2,2,4,4,4,4,2,4,4,2,4,2,2,4,1,3,3,4,3,4,4,4,3,3,3,3,3,3,2,3,3,3,1,2,3,2
1.0,20.0,40337153,29,24,0,1,1,4,3,4,2,4,4,5,1,4,3,2,2,4,5,4,2,5,1,1,4,3,4,5,4,5,4,5,5,4,5,4,4,4,3,5,3,4,1,4,2,2,1,3,2,3
0.0,19.0,40337743,27,30,1,1,1,3,5,4,4,5,3,5,2,3,4,4,3,4,3,2,2,4,3,2,2,3,4,3,4,5,4,4,4,5,4,4,5,2,3,2,3,5,2,5,3,4,5,3,4,4
0.0,19.0,40337753,29,25,0,1,1,4,4,4,5,2,1,2,4,5,2,5,2,5,2,2,1,4,3,1,4,2,3,5,4,4,2,4,3,4,5,4,5,2,2,5,1,4,2,5,1,4,4,1,3,2
0.0,19.0,40338573,26,21,0,1,1,4,4,3,5,5,4,4,4,4,4,4,3,3,3,5,3,4,5,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,3,5,5,4,3,4,4,5,5,3,4
0.0,20.0,40338633,24,20,0,1,1,3,5,3,4,3,4,4,2,4,3,4,4,4,4,3,4,4,4,3,3,3,4,5,4,3,4,3,4,4,4,3,3,3,3,2,4,3,2,3,2,2,3,2,3,3
1.0,20.0,40339023,29,30,1,1,1,4,5,1,5,4,3,4,3,5,3,4,1,3,2,5,4,4,1,1,4,2,4,5,2,5,5,2,4,4,5,5,4,4,1,5,1,2,1,4,4,4,4,2,2,2
0.0,21.0,40339103,26,19,0,0,1,4,5,3,4,3,2,5,5,3,5,5,3,5,5,3,5,2,5,5,5,5,5,3,5,5,3,2,5,4,5,5,5,5,5,2,5,4,5,4,5,5,5,1,5,5
0.0,18.0,40339903,27,24,0,1,1,3,4,4,4,4,4,4,2,2,4,3,2,4,3,2,3,4,4,2,3,2,4,5,2,2,4,4,3,5,5,4,4,4,4,3,4,4,4,3,4,3,3,2,2,2
1.0,19.0,40340783,22,16,0,0,1,4,5,4,3,2,5,3,1,3,2,4,2,4,4,3,2,4,4,5,3,3,4,5,4,3,2,3,5,3,4,2,3,2,4,1,4,4,5,2,3,4,3,2,4,2
0.0,19.0,40341723,28,27,1,1,1,2,5,4,4,3,5,5,2,5,2,3,5,5,5,5,3,5,4,4,3,3,4,4,3,5,3,5,4,5,4,5,5,5,2,3,3,5,2,4,4,4,4,3,3,3
0.0,18.0,40343713,29,29,1,1,1,5,4,4,5,4,4,4,4,4,4,4,4,5,4,4,5,4,2,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4
0.0,19.0,40346533,28,19,0,0,0,4,4,4,4,2,5,4,2,2,3,4,1,5,4,4,5,5,3,1,4,3,5,4,2,5,4,3,2,2,4,3,5,2,2,4,2,5,1,5,3,5,5,1,4,3
0.0,19.0,40311914226,24,16,0,0,0,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,3,3,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4
0.0,19.0,40311914227,27,29,1,1,1,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0.0,19.0,40311914228,24,10,0,0,0,4,5,2,3,5,4,5,3,1,2,3,2,3,4,2,4,3,2,1,4,2,5,4,4,3,4,2,4,5,3,2,3,2,2,1,5,2,5,4,3,2,3,3,4,2
