item,r,p,q_fdr
META_25,-0.154,0.1099,0.868
SOC_18,-0.152,0.1157,0.868
META_23,0.147,0.1281,0.868
MEM_12,-0.135,0.1603,0.868
DET_3,-0.132,0.1724,0.868
TIME_43,-0.126,0.1904,0.868
META_21,-0.12,0.2156,0.868
DET_4,0.114,0.238,0.868
MEM_15,-0.113,0.2441,0.868
ENVIRONMENT_38,-0.108,0.2624,0.868
COG_10,0.106,0.2746,0.868
DET_5,-0.097,0.3167,0.868
LSKILL_29,0.091,0.3477,0.868
COG_8,-0.09,0.3524,0.868
CONDITION_36,-0.086,0.3749,0.868
COG_11,-0.084,0.3872,0.868
MEM_13,-0.083,0.3912,0.868
MEM_16,-0.082,0.3949,0.868
META_24,-0.078,0.4191,0.868
DET_1,-0.076,0.4297,0.868
SOC_20,-0.075,0.4379,0.868
TIME_45,-0.073,0.4536,0.868
MEM_17,-0.072,0.4554,0.868
CONDITION_34,-0.071,0.4659,0.868
ENVIRONMENT_40,-0.064,0.5059,0.868
ENVIRONMENT_41,-0.064,0.5066,0.868
CONDITION_35,0.062,0.5209,0.868
CONDITION_33,-0.059,0.5446,0.872
ENVIRONMENT_42,-0.056,0.562,0.872
SSKILL_28,-0.047,0.6285,0.881
RSKILL_26,0.046,0.6348,0.881
DET_2,0.044,0.6509,0.881
MEM_14,-0.044,0.6512,0.881
COG_7,0.04,0.6767,0.881
TOOLS_31,-0.039,0.6855,0.881
COG_9,-0.036,0.71,0.887
TIME_44,-0.033,0.7353,0.894
WSKILL_27,-0.027,0.7839,0.907
CONDITION_32,-0.026,0.7864,0.907
TOOLS_30,0.022,0.8176,0.92
COG_6,0.019,0.8482,0.931
ENVIRONMENT_39,0.013,0.8937,0.94
SOC_19,0.012,0.8978,0.94
META_22,0.008,0.936,0.957
ENVIRONMENT_37,-0.004,0.9675,0.968
