spec,n,predictor,family,pearson_r,p,spearman_rho,p_spearman,q_fdr,beta_strategy,se
B_capped_full,109,TOTAL,primary,-0.108,0.2638,-0.017,0.8637,,,
B_capped_full,109,DET,exploratory,-0.065,0.5002,-0.032,0.7397,0.75,,
B_capped_full,109,COG,exploratory,-0.018,0.8509,0.102,0.2903,0.868,,
B_capped_full,109,MEM,exploratory,-0.158,0.1017,-0.093,0.3351,0.75,,
B_capped_full,109,SOC,exploratory,-0.092,0.3411,-0.112,0.2478,0.75,,
B_capped_full,109,META,exploratory,-0.087,0.3678,0.017,0.8625,0.75,,
B_capped_full,109,SKILLS,exploratory,0.032,0.7399,0.084,0.3859,0.868,,
B_capped_full,109,TOOLS,exploratory,-0.016,0.8683,0.074,0.4417,0.868,,
B_capped_full,109,ENVIRONMENT,exploratory,-0.077,0.4291,-0.043,0.6557,0.75,,
B_capped_full,109,TIME,exploratory,-0.11,0.2566,-0.061,0.5254,0.75,,
A_exclude_gt100,88,TOTAL,primary,-0.193,0.0711,-0.122,0.2562,,,
A_exclude_gt100,88,DET,exploratory,-0.124,0.2507,-0.104,0.3352,0.451,,
A_exclude_gt100,88,COG,exploratory,-0.102,0.3451,-0.007,0.9501,0.518,,
A_exclude_gt100,88,MEM,exploratory,-0.268,0.0116,-0.263,0.0132,0.104,,
A_exclude_gt100,88,SOC,exploratory,-0.066,0.5418,-0.054,0.6182,0.697,,
A_exclude_gt100,88,META,exploratory,-0.203,0.0578,-0.107,0.3191,0.26,,
A_exclude_gt100,88,SKILLS,exploratory,-0.023,0.8342,0.026,0.8086,0.834,,
A_exclude_gt100,88,TOOLS,exploratory,-0.035,0.7439,0.03,0.783,0.834,,
A_exclude_gt100,88,ENVIRONMENT,exploratory,-0.153,0.1552,-0.111,0.302,0.451,,
A_exclude_gt100,88,TIME,exploratory,-0.133,0.2156,-0.099,0.3586,0.451,,
C_exclude_gt100_and_ceiling,72,TOTAL,primary,-0.193,0.1035,-0.132,0.2676,,,
C_exclude_gt100_and_ceiling,72,DET,exploratory,-0.157,0.1892,-0.125,0.2942,0.387,,
C_exclude_gt100_and_ceiling,72,COG,exploratory,-0.085,0.4765,0.004,0.9729,0.613,,
C_exclude_gt100_and_ceiling,72,MEM,exploratory,-0.176,0.1385,-0.173,0.145,0.387,,
C_exclude_gt100_and_ceiling,72,SOC,exploratory,-0.04,0.7384,-0.022,0.8515,0.769,,
C_exclude_gt100_and_ceiling,72,META,exploratory,-0.228,0.0542,-0.132,0.2706,0.387,,
C_exclude_gt100_and_ceiling,72,SKILLS,exploratory,-0.035,0.7691,0.023,0.8451,0.769,,
C_exclude_gt100_and_ceiling,72,TOOLS,exploratory,-0.099,0.4064,-0.042,0.7245,0.61,,
C_exclude_gt100_and_ceiling,72,ENVIRONMENT,exploratory,-0.174,0.1434,-0.145,0.2236,0.387,,
C_exclude_gt100_and_ceiling,72,TIME,exploratory,-0.148,0.2149,-0.13,0.2762,0.387,,
D_residualized_change,109,TOTAL,primary,,0.4371,,,,-0.971,1.245
D_residualized_change,109,DET,exploratory,,0.6255,,,0.834,-0.509,1.04
D_residualized_change,109,COG,exploratory,,0.9283,,,0.944,0.075,0.835
D_residualized_change,109,MEM,exploratory,,0.115,,,0.834,-1.371,0.863
D_residualized_change,109,SOC,exploratory,,0.2635,,,0.834,-0.689,0.613
D_residualized_change,109,META,exploratory,,0.5712,,,0.834,-0.511,0.9
D_residualized_change,109,SKILLS,exploratory,,0.6026,,,0.834,0.464,0.889
D_residualized_change,109,TOOLS,exploratory,,0.9445,,,0.944,0.046,0.662
D_residualized_change,109,ENVIRONMENT,exploratory,,0.6483,,,0.834,-0.341,0.746
D_residualized_change,109,TIME,exploratory,,0.3557,,,0.834,-0.606,0.654
